"eventname","timestamp","type","value"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","77.220.64.39"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","103.244.206.74"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","78.47.139.43"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","69.164.207.140"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","url","http://sparepartiran.com/js/s0/11056.jpg"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","domain","sparepartiran.com"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","url","http://45.138.72.84/10.11nov322.gif"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","45.138.72.84"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","46.21.153.238"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","89.45.4.118"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","94.198.40.26"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","89.44.9.160"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","url","http://marzoom.org"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","domain","marzoom.org"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","url","http://89.44.9.160/gr32.rar"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","ip-dst","89.44.9.160"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","ip-dst","94.198.40.26"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","80.87.201.221"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","216.47.196.104"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","37.187.161.206"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","202.22.141.45"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","192.241.143.52"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","md5","c1ff65bb75903f9a2a17dfbc235e219c"
"ThreatIngestor Event: Twitter-Asyncrat","27/11/2020 09:38:18","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-Asyncrat","27/11/2020 09:38:18","md5","b3d3a3d0c8bf3518ac16352f3fcbcac0"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://161.35.152.178"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://bolopedasrty.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","domain","bolopedasrty.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://desatopillo.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","domain","desatopillo.best"
