"eventname","timestamp","type","value"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","domain","sparepartiran.com"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","domain","marzoom.org"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","domain","bolopedasrty.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","domain","desatopillo.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","domain","klopperflitter.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","domain","bolopedasrty.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","domain","desatopillo.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","domain","klopperflitter.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","domain","agrivcultureintegra.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","domain","linedefragmentatiom.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","domain","transferblog.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","domain","bolopedasrty.club"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","domain","desatopillo.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","domain","klopperflitter.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","domain","futuduramatios.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","domain","suitecasecourt.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","domain","sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","domain","realisationdelimitation.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","futuduramatios.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","suitecasecourt.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","sweetporto.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","marinesnotarmy7.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","domain","m103tank.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","domain","shermannlow.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","domain","m103tank.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","domain","shermannlow.best"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","domain","kamastos.cyou"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","domain","kennethinstitute.xyz"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","domain","lowbudget.top"
"ThreatIngestor Event: Twitter-Trickbot","27/11/2020 11:01:05","domain","motelstarihrast.com"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:50","domain","noiphack93.hopto.org"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","domain","noiphack93.hopto.org"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","domain","frifra.myq-see.com"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","domain","qkralstjd.p-e.kr"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","domain","qkralstjd.p-e.kr"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","domain","abdo00.publicvm.com"
