"feed","timestamp","type","value"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","md5","c1ff65bb75903f9a2a17dfbc235e219c"
"ThreatIngestor Event: Twitter-Asyncrat","27/11/2020 09:38:18","md5","b3d3a3d0c8bf3518ac16352f3fcbcac0"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","sha256","166b49b60ab6fbf18df80d7eb7637a14d764770da9931426b46ab96babf991a5"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","sha256","166b49b60ab6fbf18df80d7eb7637a14d764770da9931426b46ab96babf991a5"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","sha256","b5b78583e407d9c540c726147375c5e7f782196e7b0f96db5e5009081180f9ca"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","sha256","c3717ad010d1bac8e8b800b81702687598e8fc65e6069b93acd6033c6a8298fc"
"ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:55","sha256","b5b78583e407d9c540c726147375c5e7f782196e7b0f96db5e5009081180f9ca"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","9128e156ef2c0ed95d615729316ff82615354d6509e30a2e931913cb574dd4dc"
"ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","sha256","08f15e4acb5af5b3095304fbfd9370d33ea57a561da66bc1239477cdc6530dc3"
"ThreatIngestor Event: Twitter-Asyncrat","28/11/2020 02:00:11","sha256","203d3fa9bf0e381fe7313d08c55430d64c65870ab975cf270778d2fcbfd2eb83"
"ThreatIngestor Event: Twitter-Asyncrat","28/11/2020 07:30:18","sha256","203d3fa9bf0e381fe7313d08c55430d64c65870ab975cf270778d2fcbfd2eb83"
"ThreatIngestor Event: Twitter-Njrat","30/11/2020 22:00:09","sha256","1253331034363bc37bfe3c9b2664ef9ed65dc8422a25e70cba57e03a83e0d3e9"
"ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 00:45:11","sha256","203d3fa9bf0e381fe7313d08c55430d64c65870ab975cf270778d2fcbfd2eb83"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 04:30:09","sha256","1253331034363bc37bfe3c9b2664ef9ed65dc8422a25e70cba57e03a83e0d3e9"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 05:45:09","sha256","1253331034363bc37bfe3c9b2664ef9ed65dc8422a25e70cba57e03a83e0d3e9"
"ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:00:11","sha256","4d2431fa3f8f634d4ab3002b117eda343a910b9329e7a0745855eeed35f6ea58"
"ThreatIngestor Event: Twitter-Ursnif","01/12/2020 11:00:12","sha256","99b6752f4009fd4bbf0c62cf0f30285fbf28bbdd3c5b7fee0bf1b7fe20a8a406"
"ThreatIngestor Event: Twitter-Asyncrat","01/12/2020 20:15:12","sha256","32ac22ae67128eee2d9771d0d579ca2fd222dc5937480391df2b1f50af84bd1e"
"ThreatIngestor Event: Twitter-Njrat","01/12/2020 21:00:09","sha256","c3717ad010d1bac8e8b800b81702687598e8fc65e6069b93acd6033c6a8298fc"
"ThreatIngestor Event: Twitter-Njrat","02/12/2020 05:30:09","sha256","1253331034363bc37bfe3c9b2664ef9ed65dc8422a25e70cba57e03a83e0d3e9"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:10","sha256","d059c455c7ae424b5e0894f5bba76e445a1c70562eea0367313b7a0e446a125d"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:10","sha256","bd0d627ee3975e635af6f305cd303e77ed0d03e59d5de8334b3ea00ff771af0d"
"ThreatIngestor Event: Twitter-Dridex","02/12/2020 15:00:10","sha256","6bda1885bb0337153468b0f8bc583130bd259c381b93f810ecb8b03eec8f0675"
