"feedname","eventname","timestamp","type","value"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:45","hostname","mailgoi001.applestore-id-apple.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:45","hostname","sendmail003.apps-apple-id.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:45","hostname","goisendmail005.apps-appleid-store.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:45","hostname","goimail002.signin-appleid-apple.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:45","hostname","paypal.login.us.wahanadigital.co.id"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","8e3d.duckdns.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","paypal.juliani.co.ke"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","sn.bigblackcandles.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","freestone.co.in"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","travel.thattravelclub.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail001.hiuasyolaperakende.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail002.hiuasyolaperakende.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail003.hiuasyolaperakende.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail004.hiuasyolapos.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail005.nabsayioi726.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail006.nabsayioi726.net"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail007.nabsayioi726.org"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail012.apps-appleid-store.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail008.appleid-appstore-signin.com"
"CASTALDI-T","Blackbook feed","11/10/2020 17:14:46","hostname","mail009.appleidappstore.com"
