"id","timestamp","type","value"
"1","16/02/2017 21:35:12","hostname","cvnx.zyns.com"
"1","16/02/2017 21:35:12","hostname","contractus.qpoe.com"
"1","16/02/2017 21:35:12","hostname","apple.cmdnetview.com"
"1","16/02/2017 21:35:12","hostname","www.mseupdate.ourhobby.com"
"1","16/02/2017 21:35:12","hostname","msn.incloud-go.com"
"1","16/02/2017 21:35:12","hostname","yahoo.incloud-go.com"
"1","16/02/2017 21:35:12","hostname","nunluck.re26.com"
"1","16/02/2017 21:35:12","hostname","inspgon.re26.com"
"1","16/02/2017 21:35:12","hostname","jepsen.r3u8.com"
"1","16/02/2017 21:35:12","hostname","jimin.jimindaddy.com"
"1","16/02/2017 21:35:12","hostname","app.lehigtapp.com"
"1","16/02/2017 21:35:12","hostname","nttdata.otzo.com"
"1","16/02/2017 21:35:12","hostname","iphone.vizvaz.com"
"1","16/02/2017 21:35:12","hostname","2014.zzux.com"
"1","16/02/2017 21:35:12","hostname","cia.toh.info"
"1","16/02/2017 21:35:12","hostname","fbi.sexxxy.biz"
"1","16/02/2017 21:35:12","hostname","lion.wchildress.com"
"1","16/02/2017 21:35:12","hostname","scorpion.poulsenv.com"
"1","16/02/2017 21:35:12","hostname","kawasaki.unhamj.com"
"1","16/02/2017 21:35:12","hostname","fukuoka.cloud-maste.com"
"1","16/02/2017 21:35:12","hostname","kawasaki.cloud-maste.com"
"1","16/02/2017 21:35:12","hostname","area.wthelpdesk.com"
"1","16/02/2017 21:35:12","hostname","zebra.wthelpdesk.com"
"1","16/02/2017 21:35:12","hostname","sakai.unhamj.com"
"1","16/02/2017 21:35:12","hostname","trout.belowto.com"
"1","16/02/2017 21:35:12","hostname","dick.ccfchrist.com"
"7","16/06/2017 12:04:37","hostname","toronadrouuyrt5wwf.com"
"7","16/06/2017 12:04:37","hostname","zebtex.com"
"7","16/06/2017 12:04:37","hostname","yuanhefruits.com"
"7","16/06/2017 12:04:37","hostname","speedgrow.com"
"7","16/06/2017 12:04:37","hostname","songtinmungtinhyeu.org"
"7","16/06/2017 12:04:37","hostname","serajeadine.ir"
"7","16/06/2017 12:04:37","hostname","sellityourway.nl"
"7","16/06/2017 12:04:37","hostname","scjjh.cn"
"7","16/06/2017 12:04:37","hostname","randomessstioprottoy.net"
"7","16/06/2017 12:04:37","hostname","qiyuner.com"
"7","16/06/2017 12:04:37","hostname","mseconsultant.com"
"7","16/06/2017 12:04:37","hostname","mokinukai.lt"
