"feed","timestamp","type","value"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","77.220.64.39"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","103.244.206.74"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","78.47.139.43"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","ip-dst","69.164.207.140"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","45.138.72.84"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","46.21.153.238"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","89.45.4.118"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","94.198.40.26"
"ThreatIngestor Event: reecdeep","26/11/2020 22:51:01","ip-dst","89.44.9.160"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","ip-dst","89.44.9.160"
"ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","ip-dst","94.198.40.26"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","80.87.201.221"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","216.47.196.104"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","37.187.161.206"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","202.22.141.45"
"ThreatIngestor Event: Twitter-Emotet","27/11/2020 08:37:30","ip-dst","192.241.143.52"
"ThreatIngestor Event: Twitter-Asyncrat","27/11/2020 09:38:18","ip-dst","193.161.193.99"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","ip-dst","161.35.152.178"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","ip-dst","161.35.152.178"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","ip-dst","165.232.104.85"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","ip-dst","159.89.6.165"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","ip-dst","161.35.152.178"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","ip-dst","165.232.104.85"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","ip-dst","143.110.185.84"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","ip-dst","161.35.152.178"
"ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","ip-dst","161.35.152.178"
