"feedname","eventname","timestamp","type","value"
"CASTALDI-T","ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","url","http://sparepartiran.com/js/s0/11056.jpg"
"CASTALDI-T","ThreatIngestor Event: reecdeep","26/11/2020 22:51:00","url","http://45.138.72.84/10.11nov322.gif"
"CASTALDI-T","ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","url","http://marzoom.org"
"CASTALDI-T","ThreatIngestor Event: reecdeep","26/11/2020 23:03:27","url","http://89.44.9.160/gr32.rar"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://161.35.152.178"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://bolopedasrty.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://desatopillo.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:17","url","http://klopperflitter.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","url","http://161.35.152.178"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","url","http://bolopedasrty.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","url","http://desatopillo.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","url","http://klopperflitter.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:18","url","http://165.232.104.85"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://agrivcultureintegra.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://159.89.6.165"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://linedefragmentatiom.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://transferblog.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://161.35.152.178"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:19","url","http://bolopedasrty.club"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","url","http://desatopillo.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","url","http://klopperflitter.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:20","url","http://futuduramatios.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://suitecasecourt.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://sweetporto.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://165.232.104.85"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://realisationdelimitation.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:21","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://futuduramatios.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://suitecasecourt.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://sweetporto.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:22","url","http://kennethinstitute.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://lowbudget.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://marinesnotarmy7.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:23","url","http://kennethinstitute.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://lowbudget.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://kennethinstitute.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:24","url","http://lowbudget.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://kennethinstitute.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://lowbudget.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://161.35.152.178"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:25","url","http://m103tank.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","url","http://shermannlow.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","url","http://161.35.152.178"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","url","http://m103tank.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:26","url","http://shermannlow.best"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","url","http://143.110.185.84"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","url","http://kamastos.cyou"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","url","http://kennethinstitute.xyz"
"CASTALDI-T","ThreatIngestor Event: Twitter-IcedID","27/11/2020 10:51:27","url","http://lowbudget.top"
"CASTALDI-T","ThreatIngestor Event: Twitter-Trickbot","27/11/2020 11:01:05","url","http://motelstarihrast.com/openme.exe"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:50","url","http://noiphack93.hopto.org:5553"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","url","http://noiphack93.hopto.org:5553"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","url","http://1.227.134.55:80"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:51","url","http://frifra.myq-see.com:5552"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","url","http://qkralstjd.p-e.kr"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","url","http://qkralstjd.p-e.kr"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:52","url","http://1.227.134.55:80"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","url","http://abdo00.publicvm.com:997"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","url","http://sohaib123.ddns.net:8819"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:53","url","http://103.231.222.39:6002"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","url","http://frifra.myq-see.com:5552"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","url","http://193.161.193.99:55223"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:54","url","http://njrat.linkpc.net:5000"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:55","url","http://njrat.linkpc.net:5000"
"CASTALDI-T","ThreatIngestor Event: Twitter-Njrat","27/11/2020 11:14:55","url","http://103.231.222.39:6002"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:56","url","http://poseidon99.duckdns.org:3606.tcp://127.0.0.1:3606"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:57","url","http://poseidon99.duckdns.org:3606.tcp://127.0.0.1:3606"
"CASTALDI-T","ThreatIngestor Event: Twitter-Nanocore","27/11/2020 11:14:57","url","http://poseidon99.duckdns.org:3606.tcp://127.0.0.1:3606"
"CASTALDI-T","ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:14:58","url","http://185.185.3.40:2404:pass"
"CASTALDI-T","ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:52","url","http://185.185.3.40:2404:pass"
"CASTALDI-T","ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","url","http://185.185.3.40:2404:pass"
"CASTALDI-T","ThreatIngestor Event: Twitter-Remcos","27/11/2020 11:18:53","url","http://185.185.3.40:2404:pass"
"CASTALDI-T","ThreatIngestor Event: Twitter-Dridex","27/11/2020 11:18:54","url","http://evahollmann.de.phees.de/test/content/40.Galerien/05.im-reich-des-fauns/"
